id,name,slug,created_at
"1","Movies","moviesNnkhqi0e6g","2017-06-07 18:01:23"
"2","Sports","sportsK6C7YPwICq","2019-10-25 17:01:57"
"3","Outdoors","outdoorsyTE8933FHZ","2017-12-22 19:20:10"
"4","Jewelry","jewelryAHcyENKKMo","2025-02-06 16:12:17"
"5","Health","healthuYbTH9I8iy","2021-07-24 05:13:29"
"6","Electronics","electronicsoug7aToo1a","2017-09-09 12:54:50"
"7","Outdoors","outdoorsajwZWgaurz","2024-01-28 09:46:35"
"8","Tools","tools7PHw3OwaCT","2025-08-09 00:26:52"
"9","Garden","gardenQBWpRFHucW","2021-05-11 01:32:28"
"10","Grocery","groceryufBW9O91G1","2018-02-22 17:43:41"
"11","Toys","toyspDOMwxu6vK","2024-11-21 05:48:58"
"12","Industrial","industrialwb7ejYNxV5","2024-02-06 01:53:52"
"13","Games","games9RIzyjH6KZ","2016-09-08 13:51:52"
"14","Electronics","electronicsUSYUNAFTuP","2016-07-08 15:01:28"
"15","Beauty","beautyGwkzpIqN2k","2016-11-28 09:24:36"
