id,code,discount_type,discount_value,min_order_amount,expires_at,usage_limit,created_at
"1","YPG4Q3EO","percentage","145.97560584901856","64.22643857787993","2024-02-03 00:29:34","6","2023-12-22 05:35:36"
"2","cyvwrn0Y","percentage","107.0434607156529","91.22649312893773","2024-02-14 22:10:52","48","2023-12-18 21:51:08"
"3","WszA76vR","fixed","61.699583226099236","93.59604587032096","2025-02-23 03:14:21","16","2025-01-04 00:43:56"
"4","WTbrDl0i","percentage","50.41360322093968","278.44125164674847","2026-04-24 00:26:44","13","2025-09-23 09:04:08"
"5","IqivK6WX","percentage","29.09918716219237","92.23800766934895","2025-03-31 00:23:54","8","2024-07-02 14:45:02"
"6","8nOU8RXn","fixed","82.05824179798464","238.7038993743328","2025-09-23 22:43:42","15","2025-09-12 15:00:37"
"7","SjmicuWe","percentage","186.6069037708041","240.38287987842713","2025-03-29 17:20:50","43","2025-02-13 04:04:52"
"8","Ce2onSOa","fixed","12.540562287348168","97.16557783593302","2024-07-11 19:34:09","13","2024-01-23 22:59:03"
"9","Yjf6DT0E","fixed","95.36120988501143","43.77290263025067","2024-03-24 04:23:27","11","2023-10-27 16:04:54"
"10","t2AzRsbu","fixed","49.784150839222846","22.73314847129955","2025-10-11 00:50:33","13","2025-05-31 04:13:28"
"11","LSSGL5Op","percentage","108.13741924545526","290.33521609906296","2025-03-31 21:48:28","21","2024-12-13 06:05:32"
"12","mg2V4zGJ","percentage","45.56028715343503","273.6127421219745","2025-05-01 15:42:04","30","2024-08-15 15:00:05"
"13","E1FtXJCd","fixed","100.68858589699158","31.661642166505676","2025-12-18 07:19:23","47","2025-01-16 18:02:34"
"14","itPzgllk","fixed","63.85443129139371","87.35186778189743","2026-05-15 19:33:02","50","2025-05-16 19:45:32"
"15","jbkWVPiH","fixed","54.57384958608899","156.89889058982268","2025-10-08 15:14:43","28","2025-07-18 23:51:06"
"16","pLZePEz6","percentage","47.57256543615963","159.89551263357416","2024-03-24 21:11:18","28","2023-10-29 18:49:17"
"17","0VwSUn1O","percentage","163.94889286213086","268.34036697185104","2025-05-07 20:30:43","15","2025-03-07 16:20:42"
"18","LtrjIo3q","fixed","162.7646836335583","246.8599553586673","2026-03-27 12:25:55","40","2025-04-06 22:51:37"
"19","u1WnVlFI","fixed","139.34265279532215","105.50577328543996","2024-08-02 00:07:21","30","2024-01-24 17:14:20"
"20","WwLQVk7X","fixed","153.69768019205918","148.66194563450563","2024-03-13 11:22:18","29","2023-12-02 15:57:17"
"21","0Nf8skv4","fixed","36.18474631533556","243.56908463304234","2024-12-26 06:41:48","9","2024-03-10 04:06:28"
"22","o7u0f6V6","percentage","48.50920968995163","245.55780923121574","2025-07-26 00:04:34","4","2024-08-22 02:49:18"
"23","4a4i7cbS","fixed","152.17307359202303","192.27436277661795","2025-11-14 02:58:10","24","2025-01-23 06:24:00"
"24","vGwBZjPG","percentage","65.05949993483542","297.9728437320315","2024-07-23 10:02:49","20","2024-04-13 13:30:52"
"25","LjjVTEU5","percentage","55.96561565973266","43.756256121183085","2024-03-01 03:07:32","14","2024-02-18 04:40:48"
"26","l0ktg3Sd","percentage","154.95312883225563","228.37197333157758","2025-11-04 17:44:05","5","2024-12-26 17:14:59"
"27","xOyvbzzA","percentage","30.90133049335049","156.7967062234678","2026-06-01 15:02:52","12","2025-06-19 03:15:30"
"28","gczKPYPe","percentage","31.0417210426716","92.11624581656326","2024-07-12 01:19:38","13","2024-05-23 07:28:55"
"29","W9IBrvxK","fixed","52.09164229041059","266.24392288427714","2024-10-05 01:05:35","35","2024-06-06 06:00:56"
"30","EkLUjm9L","fixed","37.63999444210439","181.82130786230172","2025-10-06 11:40:58","18","2025-07-16 07:44:48"
"31","TY3tvuXF","percentage","135.9170652878598","108.19280291467612","2024-11-18 15:53:47","30","2024-11-13 16:18:24"
"32","TdykPFFH","fixed","99.13110490157938","193.5510937037684","2026-04-15 05:05:50","24","2025-07-12 20:18:36"
"33","fJBqxNhq","percentage","140.99754614982706","215.67491122550945","2024-05-26 13:29:08","39","2023-11-24 12:11:45"
"34","1mhcSVBt","fixed","44.648052909393655","278.4538690276218","2026-04-15 17:13:33","17","2025-05-27 19:20:30"
"35","THitj6o3","fixed","98.95060105048482","171.4651029548166","2024-04-10 06:48:59","34","2024-01-22 01:42:03"
"36","494Db383","fixed","109.26026483030915","74.93789206246217","2024-03-16 18:04:35","45","2023-11-08 12:58:54"
"37","Oxa3rGbc","fixed","76.50671570160664","64.10419429318083","2025-05-11 03:44:34","3","2024-11-15 00:36:25"
"38","By6ggC42","percentage","132.34647153880388","110.86466953342465","2024-11-14 15:39:35","50","2024-07-27 07:35:06"
"39","yfWWvL5w","fixed","107.76098758281489","231.1221881941813","2024-10-26 11:53:14","36","2024-07-22 16:31:24"
"40","wHJmgLce","fixed","116.83770611014735","256.20066575220494","2024-07-24 02:15:07","22","2024-01-25 06:27:26"
"41","T1WdaKHI","percentage","175.33078144342173","240.88561150377444","2025-09-15 14:38:45","43","2024-12-23 07:43:26"
"42","OqKsZF3l","percentage","17.9989544103744","111.44749182548051","2025-02-14 07:29:52","34","2024-10-26 03:05:35"
"43","d84hpIEm","fixed","75.78292165097486","185.12930912238625","2025-02-19 00:10:03","39","2024-09-08 06:04:11"
"44","7Pk7CBco","fixed","6.405165102408532","258.3039293576427","2026-08-17 14:08:42","40","2025-08-20 12:17:50"
"45","xMVh6TOS","fixed","98.56096380325577","51.53652782067874","2024-07-11 22:30:18","13","2024-05-10 20:22:16"
"46","nLBsi5rP","fixed","38.311584660643135","199.8199513466005","2025-01-02 02:02:57","31","2024-10-26 17:22:03"
"47","s3isoN62","fixed","49.92938972085695","286.3995744462829","2024-06-20 19:33:01","36","2024-03-19 23:30:07"
"48","nM10pev8","percentage","112.30196261268638","22.565651651689386","2025-07-01 22:55:51","26","2025-03-05 16:04:43"
"49","b7XFJfhH","fixed","167.8551161166836","128.90777287832452","2024-09-15 03:38:06","29","2024-06-14 09:25:44"
"50","HV6PgSbV","fixed","75.66672383713842","243.51038984233676","2025-06-07 13:09:02","11","2024-09-10 16:18:18"
