id,product_variant_id,warehouse_id,change_qty,movement_type,reference_id,notes,created_at
"1","3","1","10","SALE","null","null","2021-06-19 09:28:51"
"2","1","1","10","SALE","109","Ubi ancilla vilis quas solitudo comburo adhaero collum coadunatio.","2019-12-27 10:51:17"
"3","7","1","-44","ADJUSTMENT","337","Valde aetas attonbitus vinco colo accusator unus.","2019-10-09 01:46:19"
"4","8","1","-12","ADJUSTMENT","886","Summisse adinventitias quaerat.","2017-03-04 01:10:19"
"5","5","1","3","SALE","516","null","2023-04-23 21:58:58"
"6","6","1","34","SALE","59","Desidero creator utrimque desparatus natus umerus debitis cognomen surculus depereo.","2025-10-02 08:59:20"
"7","10","1","23","RELEASE","null","Vacuus est cognomen tutis amicitia.","2024-05-16 00:36:47"
"8","4","1","35","ADJUSTMENT","234","Aestus aperiam earum aut solium capto ducimus aperte vicinus.","2019-02-19 15:54:37"
"9","2","1","-49","RETURN","945","Triduana ultra canis adduco carcer.","2022-02-04 10:38:28"
"10","9","1","4","RETURN","null","null","2018-03-13 19:38:37"
