product_id,category_id
"140","9"
"20","13"
"113","4"
"90","13"
"148","1"
"155","13"
"188","14"
"159","1"
"189","11"
"126","9"
"195","10"
"83","2"
"191","14"
"144","5"
"41","12"
"176","1"
"180","11"
"153","6"
"186","14"
"192","2"
"61","13"
"141","11"
"136","4"
"180","15"
"169","5"
"75","15"
"86","7"
"109","4"
"138","12"
"42","11"
"180","2"
"88","15"
"196","7"
"6","14"
"92","7"
"143","12"
"62","1"
"168","5"
"95","9"
"78","11"
"162","7"
"134","8"
"148","15"
"165","2"
"98","15"
"43","6"
"181","14"
"183","12"
"83","5"
"149","7"
"102","12"
"131","13"
"118","11"
"180","5"
"62","5"
"56","4"
"76","3"
"188","8"
"84","8"
"66","4"
"75","11"
"178","5"
"83","3"
"66","15"
"27","8"
"50","2"
"61","10"
"152","4"
"66","2"
"114","4"
"79","15"
"76","14"
"48","9"
"62","7"
"194","9"
"60","12"
"122","8"
"124","12"
"131","15"
"76","11"
"91","4"
"62","10"
"166","10"
"18","6"
"192","13"
"75","8"
"26","6"
"5","1"
"193","10"
"94","3"
"166","11"
"134","14"
"138","4"
"155","5"
"153","9"
"32","11"
"12","9"
"75","3"
"16","1"
"116","7"
"185","3"
"119","2"
"190","10"
"82","5"
"165","5"
"194","5"
"93","10"
"57","10"
"106","9"
"77","8"
"111","14"
"94","13"
"124","4"
"180","10"
"69","11"
"61","15"
"46","15"
"105","12"
"85","5"
"90","10"
"52","9"
"166","6"
"10","12"
"127","13"
"107","4"
"195","14"
"125","2"
"14","4"
"114","12"
"31","9"
"199","14"
"151","5"
"172","14"
"99","13"
"51","8"
"30","13"
"82","3"
"26","11"
"176","10"
"97","12"
"117","10"
"44","12"
"16","2"
"27","4"
"154","3"
"171","9"
"92","10"
"191","6"
"166","7"
"150","12"
"142","7"
"179","11"
"65","11"
"89","9"
"132","8"
"110","2"
"130","12"
"168","12"
"180","14"
"185","1"
"21","6"
"17","5"
"29","10"
"109","15"
"136","8"
"49","5"
"28","13"
"13","7"
"28","14"
"9","4"
"49","6"
"184","13"
"81","15"
"142","4"
"186","11"
"79","14"
"119","12"
"108","14"
"9","11"
"177","11"
"121","1"
"54","8"
"170","8"
"186","6"
"8","10"
"138","7"
"146","8"
"38","11"
"48","11"
"108","2"
"4","10"
"64","6"
"177","8"
"182","4"
"197","6"
"25","15"
"71","12"
"137","15"
"197","4"
"45","6"
"75","1"
"72","13"
"23","2"
"122","15"
"90","4"
"135","10"
"194","12"
"13","13"
"138","14"
"41","13"
"150","3"
"119","14"
"15","10"
"16","14"
"169","7"
"191","1"
"90","14"
"199","3"
"193","12"
"73","7"
"172","11"
"189","1"
"20","5"
"185","9"
"101","14"
"197","7"
"164","13"
"109","13"
"100","12"
"137","10"
"4","5"
"52","8"
"22","2"
"148","8"
"12","14"
"171","12"
"57","8"
"12","4"
"108","9"
"149","15"
"25","10"
"34","5"
"74","12"
"74","5"
"148","10"
"159","6"
"156","5"
"194","7"
"193","15"
"62","3"
