id,purchase_order_id,product_variant_id,quantity_ordered,quantity_received,unit_cost
"1","37","127","58","9","382.0107326688189"
"2","58","171","95","92","28.92448478368272"
"3","100","191","4","2","480.7622174038386"
"4","31","177","23","7","289.8432406344546"
"5","84","77","91","14","453.5048723029706"
"6","86","361","34","21","402.869566642963"
"7","9","225","84","11","326.7770222136009"
"8","69","130","38","37","356.8442298021401"
"9","13","204","94","74","18.75826605718555"
"10","35","118","37","19","256.12173290687264"
"11","22","323","58","14","372.5934180371402"
"12","92","325","7","4","165.88313581703693"
"13","58","7","78","60","167.95841963025464"
"14","98","343","22","17","212.53442790715764"
"15","16","218","25","6","241.26428338744097"
"16","37","248","75","17","32.809542924725015"
"17","32","360","71","8","17.413735601817876"
"18","7","61","25","11","44.589862895272276"
"19","63","380","79","26","22.904343689298223"
"20","82","171","64","18","196.72587109127196"
"21","58","213","3","0","226.92672242717484"
"22","8","41","29","13","263.4015604880574"
"23","8","328","95","25","248.01197443577993"
"24","12","262","4","2","423.42458351351416"
"25","6","289","37","14","478.38248225432096"
"26","46","91","93","70","287.27172364395255"
"27","16","389","49","8","246.5299395943284"
"28","24","200","88","52","438.6719142878391"
"29","5","163","13","4","360.08099194882095"
"30","67","187","84","27","102.61323004885861"
"31","28","180","10","6","476.90273899902985"
"32","7","313","77","12","359.8310209209291"
"33","54","9","87","57","96.3460253270002"
"34","61","251","89","2","370.14416449557086"
"35","34","104","54","21","230.49453067528404"
"36","31","288","88","52","64.3980658148565"
"37","32","167","6","6","34.63433367579173"
"38","67","312","59","21","73.19271810962815"
"39","64","73","74","15","364.24459473045454"
"40","16","322","39","7","306.03491718983037"
"41","4","389","82","72","167.99679900399303"
"42","38","8","97","11","403.1648102740094"
"43","62","334","15","10","392.1269096679303"
"44","84","249","68","66","28.745795059152552"
"45","85","3","96","8","143.74611725599888"
"46","3","74","41","29","153.20560386053177"
"47","46","161","63","41","256.5859714877115"
"48","69","229","12","11","475.2501387531162"
"49","11","157","13","7","192.39860057211206"
"50","35","48","11","0","415.07068661093786"
"51","26","367","35","16","23.82628212952236"
"52","92","298","17","11","353.7391760771373"
"53","98","181","68","31","27.267968415633796"
"54","58","128","12","6","202.64235412659733"
"55","53","144","64","56","473.68241166596385"
"56","76","112","67","36","15.514732752110248"
"57","55","382","40","1","202.81718013837136"
"58","12","219","10","0","477.4836795569564"
"59","57","177","33","3","165.51736681258345"
"60","98","369","12","9","410.58065020670784"
"61","82","246","43","6","259.46342981542807"
"62","80","399","85","63","135.27895573782092"
"63","77","247","46","10","467.2804458104874"
"64","37","57","18","0","177.82863941043612"
"65","22","322","56","53","153.87813349970847"
"66","13","203","74","25","249.07521146078477"
"67","57","244","71","39","410.5748908990666"
"68","74","24","62","47","232.45564910193644"
"69","42","282","27","12","103.19704983463295"
"70","89","64","46","43","155.90642960832758"
"71","68","261","99","99","462.78510049083684"
"72","8","49","68","23","282.4889544484025"
"73","78","183","93","42","161.31653871797732"
"74","16","219","64","27","292.41698833337125"
"75","87","299","13","0","385.7757956525482"
"76","64","317","88","41","395.01556322417144"
"77","1","168","80","21","300.43999806721627"
"78","42","234","85","57","14.455487912914892"
"79","4","267","8","1","290.02808993288903"
"80","33","11","4","1","477.1896136879465"
"81","33","233","38","1","406.4556502792615"
"82","91","74","15","1","321.00626194796416"
"83","82","366","63","1","222.40338266306463"
"84","91","128","36","1","475.9878726313702"
"85","34","215","65","30","249.30759196453005"
"86","20","293","89","65","61.75244334827943"
"87","60","152","29","19","64.82885168480598"
"88","7","61","17","6","64.39127081740183"
"89","11","269","58","34","160.57576691434417"
"90","30","227","43","9","100.1217276526385"
"91","62","60","64","55","491.21366442074486"
"92","53","139","55","40","281.9210676042142"
"93","55","201","89","23","116.00497378100427"
"94","14","353","31","23","381.995455729641"
"95","16","236","63","24","63.15917351468021"
"96","41","298","77","66","163.75841083813802"
"97","87","125","56","47","335.54530929147705"
"98","36","138","25","20","203.20453857796045"
"99","91","308","36","18","471.39272189934485"
"100","40","168","44","20","260.9890538803364"
"101","29","317","40","10","313.4660981875882"
"102","25","324","66","25","292.3543891620764"
"103","30","383","73","60","281.70520059027035"
"104","57","103","3","1","237.9908069462592"
"105","98","187","15","12","466.074854270251"
"106","56","256","1","0","141.20535752156124"
"107","31","215","45","28","464.0632191029031"
"108","4","91","18","0","265.94053931520386"
"109","41","103","96","29","412.7335437772633"
"110","27","260","4","0","434.66298925675943"
"111","99","240","38","34","458.2274664007637"
"112","82","293","55","31","413.6885887612691"
"113","95","339","83","49","487.09542286178834"
"114","11","10","79","43","38.626025416761"
"115","23","59","10","1","119.74384678284812"
"116","47","80","71","18","387.5186198710033"
"117","1","264","92","20","328.1631987698507"
"118","3","172","51","8","434.0013154581685"
"119","37","321","61","13","116.51779589123686"
"120","31","20","84","48","404.4976092556697"
"121","61","78","38","34","329.95198434697977"
"122","78","314","89","0","178.47058275768248"
"123","70","134","5","5","184.77114258351517"
"124","10","83","86","73","221.8330062846516"
"125","66","20","35","22","85.09668975628009"
"126","63","275","91","52","130.48936847240554"
"127","52","92","18","8","311.3864897005383"
"128","12","155","75","3","486.78743639729316"
"129","48","362","12","10","198.97019839721997"
"130","66","392","97","1","88.79390069614567"
"131","21","371","12","2","417.25201868236604"
