id,supplier_id,po_number,status,total_amount,expected_delivery_date,created_at
"1","2","9VJ4R1R5","received","85326.85","2024-06-15 13:28:55","2024-05-04 02:06:50"
"2","19","H6MXBPYK","cancelled","73756.82","","2023-08-06 01:37:26"
"3","14","IUWK2R5Y","cancelled","33624.4","","2020-11-01 04:41:34"
"4","11","OAO9VO8E","created","71144.89","2018-10-19 21:23:24","2018-10-08 11:24:17"
"5","10","QWZ264M8","cancelled","82020.25","","2023-05-17 13:03:38"
"6","12","X7GIJGLU","sent","47367.98","2025-11-01 14:18:03","2025-09-16 20:33:30"
"7","6","I3AJMGDX","received","28489.28","2023-07-15 10:11:48","2023-07-04 22:14:44"
"8","3","FD5OKVTA","sent","40695.16","2020-09-28 20:04:51","2020-08-06 19:20:28"
"9","7","HRT4L2OZ","received","7520.71","2022-08-11 20:35:59","2022-07-23 09:08:03"
"10","4","F986RZN0","cancelled","16526.04","","2019-04-29 11:12:15"
"11","19","J991BNMO","sent","9772.41","2024-09-27 08:06:58","2024-09-01 21:11:56"
"12","11","E3M6FOXE","created","46532.74","2019-05-12 00:45:36","2019-04-03 20:18:29"
"13","12","NWSN3FFO","cancelled","68144.17","","2022-08-02 05:22:46"
"14","7","SJTJPSVI","created","21401.1","2019-10-12 14:11:15","2019-08-27 22:48:50"
"15","9","P7W51OM9","partially_received","80149.86","2025-11-01 09:28:20","2025-09-08 17:37:58"
"16","20","07RY4HB5","cancelled","53255.03","","2022-08-28 20:18:42"
"17","7","XT08E5I4","cancelled","87010.47","","2018-01-26 15:51:45"
"18","9","GQU2XWFP","received","58037.5","2018-11-13 08:12:10","2018-09-27 00:28:23"
"19","12","PSMIIZ1K","sent","21149.99","2020-03-14 14:01:18","2020-03-07 13:01:49"
"20","8","03JTFOF7","created","65552.1","2025-11-24 03:20:45","2025-10-12 07:04:18"
"21","8","SORI0USU","cancelled","61758.39","","2019-06-16 05:14:48"
"22","11","MHMW5L25","received","87739.35","2024-03-19 20:38:53","2024-01-26 07:40:08"
"23","1","W0D23BNB","created","93825.78","2020-08-19 08:33:44","2020-06-20 11:50:56"
"24","7","WCT0LNZU","cancelled","89344.36","","2018-07-29 19:22:24"
"25","1","O5JMIL19","sent","81337.55","2021-04-17 19:11:00","2021-03-05 16:40:18"
"26","16","TMW3K5VM","sent","70212.93","2017-11-30 18:17:55","2017-10-10 00:22:10"
"27","14","UOY9FO4Y","created","49159.45","2022-11-14 14:06:48","2022-10-10 21:04:05"
"28","16","9LLLLHMZ","created","31578.18","2022-09-01 07:49:26","2022-08-05 09:23:18"
"29","18","7CPV5WWC","created","99979.99","2025-08-20 16:06:16","2025-08-19 03:43:42"
"30","18","0SVRUZCJ","created","8944.81","2021-06-10 09:15:03","2021-05-24 15:11:55"
"31","9","TNEUY741","partially_received","65353.55","2024-08-18 05:12:29","2024-07-24 12:19:29"
"32","1","4WBF0KAI","sent","3444.34","2020-06-25 16:54:23","2020-05-09 23:02:09"
"33","20","G1PQ0IFT","partially_received","92353.86","2018-03-26 15:33:02","2018-02-13 17:01:28"
"34","16","GP0XAPAS","cancelled","54150.11","","2017-06-06 06:50:18"
"35","6","ZO4P20FY","received","3453.22","2018-02-12 16:12:48","2018-01-31 18:48:46"
"36","11","41RAX7SP","cancelled","84057.21","","2019-09-07 18:19:29"
"37","16","PL43I3CD","sent","78852.4","2017-11-17 01:30:13","2017-10-02 05:38:15"
"38","19","BN77477P","sent","48494.97","2019-09-28 07:36:21","2019-08-04 07:20:16"
"39","9","GQ10RRJ4","created","47447.72","2018-09-29 00:54:06","2018-09-19 08:45:46"
"40","5","UAKWUYRT","cancelled","64569.44","","2020-12-30 05:31:55"
"41","19","XZX1X860","received","74397.51","2021-03-06 08:32:14","2021-02-24 15:08:28"
"42","18","F9911BEG","sent","73554.04","2023-06-23 23:05:18","2023-06-02 21:14:43"
"43","7","LQCCOGS2","received","68716.09","2017-05-09 21:48:26","2017-04-28 19:44:04"
"44","13","BKN4EIWV","partially_received","87604.48","2019-06-02 00:52:23","2019-04-22 16:45:05"
"45","3","66VOR68T","partially_received","82622.66","2023-11-27 18:04:50","2023-10-24 16:18:07"
"46","9","YYAMBCVW","cancelled","54782.9","","2022-03-03 20:02:00"
