id,customer_id,product_variant_id,product_id,rating,title,comment,created_at
"1","231","83","163","4","derelinquo thermae agnitio","Aperiam agnosco vero debitis tenus cunae vis deficio. Esse decretum adaugeo curis tergiversatio damnatio laborum.","2016-11-24 16:23:12"
"2","7","52","52","2","considero careo eius corpus contigo vox","Auctus sumptus commemoro advoco dedico sapiente advoco tristis.","2020-09-01 20:32:15"
"3","726","79","112","4","conatus aperte valetudo","Cursus beneficium cinis ater illo verumtamen vulnero. Defleo cuppedia decimus conqueror explicabo textor adipiscor autem utrimque.","2020-08-06 13:31:52"
"4","740","192","167","2","accendo suus aliquid sperno venia","Cogito fugiat averto decimus ullam suffoco ventus veritas amita. Amaritudo alias provident demonstro.","2022-02-19 19:26:50"
"5","272","208","73","2","voco deprimo assumenda eos","Uredo sopor curso copia candidus adipiscor socius. Canis adeptio cariosus delectus. Coniecto enim demum conspergo amiculum vitae succurro subiungo.","2024-12-25 09:37:48"
"6","208","362","166","3","absque abscido alii","Cetera perspiciatis acsi cunctatio. Bene verus totam supellex cito succurro deleo civitas quo.","2019-08-06 14:35:19"
"7","468","399","188","1","degenero ascit facere aliquam tergiversatio","Vilis corroboro perspiciatis. Amor pauper vilitas aveho acsi speculum. Saepe confido coepi aestas adopto optio peior utrimque aranea aliqua.","2018-02-10 21:58:50"
"8","173","32","177","4","una subiungo","Celo dolores cui tollo quibusdam caput accusantium conspergo. Officia sustineo eius adnuo thalassinus maxime reiciendis suffoco vox aegrus. Aeneus tamquam termes excepturi cilicium creator sursum placeat amiculum caritas.","2017-04-30 18:02:54"
"9","912","225","189","1","comedo copiose contego coadunatio","Cattus recusandae rerum temperantia acsi ut cito uter cubicularis.","2023-10-07 13:47:41"
"10","95","264","79","3","natus umbra benigne","Vitium numquam valetudo vicissitudo itaque admoneo aspicio ad. Damnatio cariosus alioqui textus accedo cohors adulatio.","2018-11-11 03:06:22"
"11","282","342","156","4","cupressus terminatio adflicto sursum adfectus vae","Traho curia caritas truculenter. Triumphus quibusdam ver conservo basium vitium.","2016-12-05 21:57:09"
"12","456","204","196","5","caelestis deleo crebro","Tolero conculco optio. Creber coaegresco a unde. Crastinus arcus dens agnitio ulterius arbitro curtus contigo possimus.","2017-12-12 23:42:53"
"13","251","389","120","3","alias talus capitulus","Clam adsidue vomer aedificium. Adfero verbera amplus corrigo nisi saepe tantillus. Conforto abstergo peior vae.","2020-11-07 18:14:22"
"14","609","52","33","2","repellendus valde bardus articulus deduco contego","Argumentum calculus ceno adsidue cupiditas explicabo. Velut tripudio celo.","2018-02-05 10:10:10"
"15","905","356","94","1","convoco bestia comis eos valde","Strues tametsi quibusdam contego succurro. Carus somnus crur bellicus tenax tolero cedo celer dolorem. Suppellex neque appono iste sui culpo.","2022-10-17 03:25:46"
"16","386","350","83","1","deludo vitiosus ventus blandior autem","Demulceo audax antepono tumultus tam.","2025-06-03 13:51:11"
"17","562","92","83","2","calculus cotidie acerbitas decor debitis","Consequuntur terminatio decet surgo cinis atavus volo tyrannus patruus.","2021-11-03 15:18:44"
