id,shipment_id,order_item_id,quantity
"1","1396","2289","15"
"2","347","6776","5"
"3","2599","3630","18"
"4","884","5290","10"
"5","2424","2983","17"
"6","3028","3950","14"
"7","3982","7049","7"
"8","4630","3355","15"
"9","2111","5184","12"
"10","3166","263","2"
"11","193","883","8"
"12","4440","6712","16"
"13","603","577","4"
"14","1154","2049","17"
"15","4870","2559","15"
"16","3294","5321","13"
"17","212","101","15"
"18","1488","4904","5"
"19","1631","3796","10"
"20","1646","4116","1"
"21","3012","6068","19"
"22","891","1433","16"
"23","340","6978","7"
"24","850","3085","2"
"25","3375","5183","13"
"26","4780","2552","19"
"27","57","983","19"
"28","1330","3012","8"
"29","2426","3581","2"
"30","278","1953","17"
"31","3785","2289","2"
"32","3273","5491","13"
"33","2304","6203","17"
"34","946","7405","2"
"35","4766","6819","4"
"36","3184","4166","5"
"37","3843","4135","18"
"38","3313","1699","2"
"39","4408","1324","15"
"40","4621","5638","5"
"41","2136","5801","2"
"42","1255","574","19"
"43","554","4217","2"
"44","1931","86","6"
"45","2590","6801","6"
"46","4960","3682","17"
"47","3898","3407","18"
"48","538","1530","5"
"49","3189","4803","3"
"50","3619","350","4"
"51","551","3368","12"
"52","918","7357","15"
"53","2760","349","7"
"54","998","2471","20"
"55","978","2327","7"
"56","1266","5793","17"
"57","2088","285","2"
"58","4802","4607","1"
"59","3261","1899","14"
"60","109","7134","4"
"61","398","3904","5"
"62","2052","6804","8"
"63","4996","825","10"
"64","2019","108","11"
"65","3534","7483","16"
"66","3918","5452","17"
"67","550","1194","4"
"68","3260","177","13"
"69","2280","4257","9"
"70","1933","2121","14"
"71","3648","7239","12"
"72","1714","3811","10"
"73","2168","3639","18"
"74","2181","3425","6"
"75","3851","3854","18"
"76","402","230","2"
"77","3829","1704","6"
"78","3570","800","6"
"79","872","5017","2"
"80","4995","1010","3"
"81","1308","7006","6"
"82","3384","5904","1"
"83","2350","4574","13"
"84","3455","7190","17"
"85","16","3844","6"
"86","4549","6107","9"
"87","4143","4058","1"
"88","2715","2482","10"
"89","321","2786","5"
"90","2215","6361","17"
"91","1071","5727","2"
"92","494","1238","5"
"93","362","5855","16"
"94","3849","4832","6"
"95","2024","4670","5"
"96","495","2426","16"
"97","533","4686","13"
"98","1466","3107","7"
"99","4915","1378","20"
"100","4276","7258","18"
"101","1055","5584","18"
"102","1744","1843","17"
"103","607","940","5"
"104","2576","6860","16"
"105","2021","2740","2"
"106","1617","6591","12"
"107","2675","6638","17"
"108","3095","1669","1"
"109","4872","2646","7"
"110","1373","1525","17"
"111","4060","2310","18"
"112","1284","7211","18"
"113","2047","2832","20"
"114","1459","4652","5"
"115","2917","6469","10"
"116","1667","3798","3"
"117","5","2035","9"
"118","1456","1920","7"
"119","4966","3932","8"
"120","173","3889","19"
"121","2552","7358","16"
"122","985","4385","1"
"123","458","3793","16"
"124","1096","5912","3"
"125","1250","6848","14"
"126","1259","6769","12"
"127","3031","7036","8"
"128","1482","3247","7"
"129","4231","5562","7"
"130","4049","6687","8"
"131","159","4140","16"
"132","1025","2453","17"
"133","4021","1964","4"
"134","3744","880","6"
"135","3124","1945","9"
"136","4657","3766","8"
"137","4412","6768","9"
"138","4072","2732","13"
"139","300","1773","4"
"140","3805","1129","4"
"141","3186","556","17"
"142","1817","2044","19"
"143","1490","2033","8"
"144","4533","6116","15"
"145","3493","5779","9"
"146","3244","5218","9"
"147","1505","191","6"
"148","4381","5492","17"
"149","3314","3935","5"
"150","3384","3852","13"
"151","898","5942","8"
"152","2399","566","1"
"153","1262","6267","19"
"154","2542","3984","9"
"155","2184","6243","17"
"156","721","184","16"
"157","4368","841","3"
"158","1034","3981","9"
"159","1408","2801","17"
"160","1441","1692","11"
"161","3259","2006","6"
"162","963","5517","3"
"163","1060","4353","9"
"164","1375","5753","17"
"165","1918","6319","5"
"166","279","6486","13"
"167","3846","5351","10"
"168","1500","3505","2"
"169","152","7028","10"
"170","3333","5864","10"
"171","3834","6430","14"
"172","535","2782","12"
"173","4603","4131","5"
"174","2945","686","16"
"175","2390","2262","17"
"176","4927","4906","4"
"177","88","6549","12"
"178","1809","1934","5"
"179","537","2561","8"
"180","1002","5140","7"
"181","1067","2016","6"
"182","2967","1758","8"
"183","3145","5549","15"
"184","2605","3151","17"
"185","4742","4890","17"
"186","2794","1797","2"
"187","3966","6636","11"
"188","4459","6089","16"
"189","4115","2733","18"
"190","308","387","14"
"191","327","3068","16"
"192","3247","471","12"
"193","1671","2315","20"
"194","4677","2293","3"
"195","153","3347","15"
"196","2192","5634","6"
"197","3505","5161","9"
"198","142","6191","1"
"199","1558","868","19"
"200","1546","5060","8"
"201","2790","6762","6"
"202","51","1042","9"
"203","4319","4144","3"
"204","3188","4104","2"
"205","3908","6273","18"
"206","310","327","20"
"207","4251","4650","7"
"208","1138","2832","12"
"209","42","2923","3"
"210","2221","5992","20"
"211","1558","949","16"
"212","230","5027","20"
"213","4271","2679","5"
"214","283","5747","18"
"215","2289","151","13"
"216","2970","1817","2"
"217","2812","4688","13"
"218","989","1355","9"
"219","2545","3128","4"
"220","1662","2631","17"
"221","2582","1674","8"
"222","1457","892","3"
"223","2883","3814","7"
"224","1826","301","6"
"225","1307","579","18"
"226","3296","5296","17"
"227","4289","3952","9"
"228","2647","6201","7"
"229","1452","3564","4"
"230","2848","2517","19"
"231","3059","1749","10"
"232","2459","6465","3"
"233","1007","3641","18"
"234","1751","2464","11"
"235","474","1499","3"
"236","2990","561","13"
"237","2855","172","1"
"238","2492","3627","7"
"239","2663","3213","4"
"240","1833","3025","7"
"241","1639","3025","9"
"242","3370","1350","14"
"243","4220","5449","11"
"244","3197","3400","3"
"245","4844","3480","9"
"246","2158","1014","5"
"247","1353","715","7"
"248","51","6391","20"
"249","3541","4083","14"
"250","3498","974","10"
"251","2255","2708","18"
"252","3044","2281","9"
"253","4399","6151","20"
"254","2657","7186","12"
"255","3128","1283","8"
"256","3926","4833","3"
"257","4295","1910","7"
"258","1628","7360","18"
"259","1778","1550","1"
"260","2041","628","1"
"261","4272","6493","5"
"262","2710","2662","9"
"263","1745","983","12"
"264","3157","1108","7"
"265","1599","3001","11"
"266","2816","2803","1"
"267","4287","3047","1"
"268","727","89","17"
"269","673","577","7"
"270","376","2783","16"
"271","4882","5307","6"
"272","3996","6126","8"
"273","4811","4600","16"
"274","4738","2342","20"
"275","447","1449","12"
"276","4642","7174","4"
"277","4558","2548","12"
"278","3781","615","14"
"279","3194","5703","11"
"280","3878","692","1"
"281","4856","2741","16"
"282","3213","3749","4"
"283","2577","3271","19"
"284","491","943","7"
"285","2496","351","4"
"286","2404","3961","15"
"287","2372","7092","7"
"288","4988","2775","18"
"289","133","3797","2"
"290","79","24","15"
"291","1169","4360","15"
"292","743","425","17"
"293","4450","5708","2"
"294","982","2887","9"
"295","4485","5503","18"
"296","1456","6691","16"
"297","3548","4423","1"
"298","3668","3946","15"
"299","3246","4624","1"
"300","2024","889","5"
"301","1890","4324","6"
"302","4572","123","15"
"303","692","1014","19"
"304","178","5296","14"
"305","2592","6461","15"
"306","600","940","4"
"307","4519","1879","6"
"308","2843","5571","1"
"309","4925","7300","12"
"310","4530","7313","20"
"311","131","1621","9"
"312","1776","4887","4"
"313","1609","4988","7"
"314","4088","5974","17"
"315","2587","2498","1"
"316","2523","2451","18"
"317","3707","322","9"
"318","2793","412","7"
"319","1733","1715","3"
"320","3666","2990","8"
"321","410","7078","11"
"322","982","6626","14"
"323","2374","5348","7"
"324","4141","5735","2"
"325","1528","2164","20"
"326","2874","7106","19"
"327","268","6417","12"
"328","2577","1928","2"
"329","4707","4485","18"
"330","4700","6874","11"
"331","3469","5127","10"
"332","1171","4867","16"
"333","3079","3005","5"
"334","160","3692","16"
"335","2682","2910","15"
"336","1554","3204","2"
"337","3193","2611","13"
"338","223","3500","15"
"339","1906","853","9"
"340","4371","5561","13"
"341","4026","1072","9"
"342","3930","6801","10"
"343","642","2498","12"
"344","588","6768","6"
"345","3619","6766","6"
"346","1259","57","13"
"347","1029","5006","17"
"348","1979","3563","3"
"349","1879","2580","7"
"350","1112","1218","15"
"351","4134","814","4"
"352","809","981","8"
"353","3205","7494","17"
"354","3039","1831","9"
"355","2340","3158","3"
"356","3603","5127","20"
"357","1922","5585","4"
"358","1353","4304","7"
"359","1535","6213","4"
"360","763","4388","5"
"361","693","5761","6"
"362","2424","1147","12"
"363","1332","6896","15"
"364","1465","7184","2"
"365","2649","2078","2"
"366","2841","5547","16"
"367","1573","7401","11"
"368","1851","252","4"
"369","1712","1515","1"
"370","1294","1093","2"
"371","3229","6601","1"
"372","2968","3861","15"
"373","3213","3032","10"
"374","515","2225","17"
"375","4002","404","11"
"376","152","3312","7"
"377","3919","5618","9"
"378","2048","6","7"
"379","2774","3942","6"
"380","2329","7477","7"
"381","1129","6377","13"
"382","4170","4572","5"
"383","3822","2392","5"
"384","1681","17","8"
"385","4371","6244","14"
"386","2225","292","9"
"387","1494","3421","19"
"388","3660","219","13"
"389","1336","1919","2"
"390","4313","3968","16"
"391","775","3885","5"
"392","2568","1468","17"
"393","1340","2046","19"
"394","1240","2250","5"
"395","2203","5867","9"
"396","4699","351","4"
"397","1270","6181","19"
"398","4275","4403","9"
"399","657","1872","14"
"400","358","6666","17"
"401","2333","1338","4"
"402","463","1547","5"
"403","3377","5006","13"
"404","503","2783","12"
"405","465","3593","20"
"406","3911","364","2"
"407","1760","3505","2"
"408","1442","6338","11"
"409","4242","6740","7"
"410","310","5751","3"
"411","4934","269","16"
"412","2235","1597","20"
"413","2063","7415","16"
"414","4772","4654","3"
"415","4304","1722","10"
"416","1155","5170","14"
"417","3713","6322","19"
"418","1371","6018","12"
"419","1333","1725","13"
"420","4701","4680","17"
"421","949","1398","14"
"422","3583","968","15"
"423","3075","607","15"
"424","3124","2433","1"
"425","2712","4171","19"
"426","4206","536","20"
"427","2303","306","7"
"428","3612","3394","14"
"429","2112","141","17"
"430","1460","2726","4"
"431","1399","6653","15"
"432","4493","2293","19"
"433","1452","563","1"
"434","1638","4369","12"
"435","2747","2532","10"
"436","4549","6872","18"
"437","649","5453","11"
"438","2558","4348","15"
"439","1572","3764","5"
"440","3426","4160","4"
"441","3004","4509","11"
"442","1148","768","9"
"443","902","1449","1"
"444","3330","7203","7"
"445","206","7188","3"
"446","2442","7441","3"
"447","253","2724","14"
"448","3636","3085","16"
"449","2872","6453","3"
"450","4738","3409","18"
"451","879","2584","18"
"452","2505","5921","10"
"453","4248","1418","11"
"454","4810","3450","18"
"455","760","6241","19"
"456","4488","1608","13"
"457","583","1426","6"
"458","164","5822","19"
"459","4478","3803","13"
"460","4951","829","10"
"461","3660","7200","11"
"462","2207","7369","3"
"463","3519","2675","12"
"464","4590","2376","19"
"465","1408","2982","12"
"466","3484","121","7"
"467","4191","6368","13"
"468","2457","4120","3"
"469","318","829","18"
"470","3673","7275","13"
"471","216","3759","19"
"472","2047","3977","6"
"473","1455","2190","4"
"474","1756","4284","6"
"475","2313","1561","16"
"476","2880","2695","19"
"477","1045","2075","18"
"478","3158","4162","13"
"479","3923","1814","5"
"480","710","2727","6"
"481","2101","4951","9"
"482","3127","3450","19"
"483","1149","5502","6"
"484","3091","335","13"
"485","249","4871","8"
"486","4856","4493","1"
"487","2031","1881","14"
"488","690","3441","17"
"489","1911","5761","17"
"490","3157","3757","11"
"491","2537","906","13"
"492","4601","3632","17"
"493","3960","6184","8"
"494","3747","4120","13"
"495","3487","365","8"
"496","3472","2935","3"
"497","4508","6608","10"
"498","4698","5248","14"
"499","255","4015","20"
"500","4842","4726","8"
"501","2299","3454","2"
"502","4952","987","18"
"503","4823","2432","4"
"504","2349","5167","10"
"505","4651","5045","15"
"506","3624","1203","12"
"507","1684","4196","3"
"508","1210","321","16"
"509","871","168","13"
"510","4706","4610","15"
"511","2037","5701","1"
"512","3294","5178","1"
"513","1969","4052","18"
"514","2703","5620","16"
"515","3166","7075","3"
"516","651","1702","20"
"517","4937","1939","15"
"518","4207","5074","10"
"519","3899","6597","4"
"520","2563","5212","18"
"521","373","4497","2"
"522","3524","1823","10"
"523","1204","1275","11"
"524","2719","4112","6"
"525","2226","2669","9"
"526","4642","6715","2"
"527","328","1514","15"
"528","4084","419","15"
"529","1977","4184","9"
"530","3217","1237","7"
"531","642","4749","4"
"532","152","2975","15"
"533","360","575","16"
"534","227","5983","16"
"535","1111","5766","2"
"536","4991","4726","7"
"537","4416","633","13"
"538","4515","7254","14"
"539","4401","2833","2"
