id,customer_id,session_id,status,created_at,updated_at
"1","940","v0DXbbqYjE","converted","2018-08-20 06:21:44","2023-09-09 22:07:23"
"2","898","DRDGVgcFIu","converted","2024-01-26 22:07:39","2025-09-22 21:43:31"
"3","721","UAWweVeP7R","abandoned","2024-01-25 00:32:18","2024-04-18 13:49:26"
"4","320","cGgO4KtjF7","active","2017-01-15 02:46:19","2017-07-10 13:36:39"
"5","548","yolfu5LBjh","abandoned","2017-04-14 02:59:51","2023-12-25 16:00:15"
"6","376","E4XZ5PvTYQ","abandoned","2018-03-18 20:07:34","2018-07-12 00:24:16"
"7","630","gkY2kW8uGW","abandoned","2020-08-11 19:04:23","2023-04-26 10:59:10"
"8","19","g74iP1Qlnz","abandoned","2023-10-26 22:12:48","2023-10-30 08:45:43"
"9","253","I7sNeSiGdW","converted","2022-03-19 20:47:21","2024-12-10 17:57:06"
"10","283","q0COQF4Ckw","converted","2018-03-01 09:23:40","2023-04-05 01:04:59"
"11","736","5jjWTUWoo8","converted","2023-09-17 11:48:12","2024-02-03 19:54:39"
"12","936","Wii1Ilm8YB","active","2018-01-20 12:34:31","2023-11-25 04:49:03"
"13","15","b5VU3yg2Mg","active","2018-09-15 09:21:01","2025-02-01 21:16:51"
"14","550","M2PdOWRtO6","converted","2025-10-12 10:51:35","2025-10-14 19:13:45"
"15","76","JfW9LAs4Qc","active","2023-05-23 02:52:26","2025-06-13 09:15:18"
"16","888","buOir2mMBf","active","2018-07-17 20:08:26","2023-03-08 17:53:14"
"17","100","C53P4pImo8","converted","2018-10-20 02:45:01","2019-02-22 00:53:50"
"18","275","EYShgtwr5m","active","2024-01-24 16:13:42","2024-03-01 05:19:05"
"19","62","LWUdwe38WB","active","2022-06-18 23:35:35","2024-12-25 21:11:11"
"20","717","qIegZ92wjF","active","2025-05-30 13:46:47","2025-09-06 19:31:35"
"21","704","VBY0z69DJw","active","2024-09-25 08:54:18","2025-08-13 20:29:20"
"22","399","PohkLpttPz","converted","2023-04-04 06:50:17","2024-02-18 06:50:17"
"23","574","LhJfjkf8zm","active","2021-04-19 21:02:03","2021-11-06 21:30:52"
